category,subcategory,id_product,product,profit_margin
Furniture,Bookcases,FUR-BO-5780,"Safco Floating Shelf Set, Traditional",41.21
Furniture,Chairs,FUR-CH-5803,"SAFCO Steel Folding Chair, Set of Two",41.94
Furniture,Furnishings,FUR-FU-3953,"Deflect-O Photo Frame, Erganomic",48.99
Furniture,Tables,FUR-TA-3421,"Bevis Conference Table, Rectangular",48.00
Office Supplies,Appliances,OFF-AP-4748,"Hoover Toaster, Silver",45.97
Office Supplies,Art,OFF-AR-5633,Prang Dustless Chalk Sticks,50.00
Office Supplies,Binders,OFF-BI-3326,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",50.00
Office Supplies,Envelopes,OFF-EN-6359,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",50.00
Office Supplies,Fasteners,OFF-FA-5459,OIC Binder Clips,50.00
Office Supplies,Labels,OFF-LA-3193,Avery 475,50.00
Office Supplies,Paper,OFF-PA-3012,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",50.00
Office Supplies,Paper,OFF-PA-6308,Tops Green Bar Computer Printout Paper,50.00
Office Supplies,Paper,OFF-PA-6440,Xerox 1890,50.00
Office Supplies,Storage,OFF-ST-4062,"Eldon Folders, Single Width",46.91
Office Supplies,Supplies,OFF-SU-4127,"Elite Scissors, Easy Grip",45.96
Technology,Accessories,TEC-AC-3389,"Belkin Memory Card, Erganomic",50.00
Technology,Copiers,TEC-CO-4770,"HP Fax and Copier, Digital",46.98
Technology,Machines,TEC-MA-4594,Hewlett-Packard 300S Scientific Calculator,46.00
Technology,Phones,TEC-PH-5825,"Samsung Headset, Full Size",49.98
